DATE,Return_Stock,Return_market,Risk_free_Rate
1-Sep-21,-0.82%,-0.01%,
2-Sep-21,-1.89%,-1.08%,
3-Sep-21,-0.87%,0.12%,
6-Sep-21,-0.71%,-0.08%,
7-Sep-21,-0.75%,-0.40%,
8-Sep-21,-0.11%,-0.71%,
9-Sep-21,-2.40%,0.49%,
10-Sep-21,-0.35%,1.23%,
13-Sep-21,1.59%,0.15%,
14-Sep-21,1.74%,-0.80%,
15-Sep-21,0.24%,-0.37%,
16-Sep-21,0.10%,0.44%,
17-Sep-21,-0.97%,-0.61%,
20-Sep-21,-0.11%,-0.23%,
21-Sep-21,-1.69%,-1.12%,
22-Sep-21,-1.23%,-0.89%,
23-Sep-21,0.01%,-0.66%,
24-Sep-21,-0.50%,-0.49%,
27-Sep-21,-2.59%,-0.57%,
28-Sep-21,0.49%,1.02%,
29-Sep-21,-1.47%,-2.01%,
30-Sep-21,-1.43%,1.20%,
1-Oct-21,0.67%,-0.06%,
4-Oct-21,-0.07%,0.39%,
5-Oct-21,-0.60%,-0.84%,
6-Oct-21,-1.48%,-0.66%,
7-Oct-21,1.21%,0.48%,
8-Oct-21,1.07%,-0.24%,
11-Oct-21,-0.56%,-1.46%,
12-Oct-21,3.83%,0.12%,
13-Oct-21,0.80%,-1.51%,
14-Oct-21,3.53%,2.57%,
15-Oct-21,-0.10%,1.10%,
18-Oct-21,2.27%,-0.43%,
20-Oct-21,2.03%,1.95%,
21-Oct-21,2.69%,0.71%,
22-Oct-21,1.51%,-0.53%,
25-Oct-21,-1.49%,-0.33%,
26-Oct-21,-1.65%,-0.38%,
27-Oct-21,-1.49%,1.31%,
28-Oct-21,0.46%,0.30%,
29-Oct-21,1.36%,0.50%,
1-Nov-21,0.63%,1.57%,
2-Nov-21,0.80%,0.36%,
3-Nov-21,-2.17%,-0.17%,
4-Nov-21,-0.76%,0.40%,
5-Nov-21,0.99%,0.16%,
8-Nov-21,0.87%,-0.38%,
9-Nov-21,-1.06%,-1.52%,
10-Nov-21,-0.60%,0.50%,
11-Nov-21,-0.37%,-0.60%,
12-Nov-21,-0.57%,-1.29%,
15-Nov-21,1.20%,-0.03%,
16-Nov-21,0.83%,1.76%,
17-Nov-21,-1.04%,-0.75%,
18-Nov-21,-0.71%,-0.18%,
19-Nov-21,1.65%,0.82%,
22-Nov-21,-0.95%,-1.60%,
23-Nov-21,-1.14%,-1.74%,
24-Nov-21,-2.60%,-1.30%,
25-Nov-21,-2.23%,-0.96%,
26-Nov-21,1.59%,0.41%,
29-Nov-21,4.58%,2.76%,
30-Nov-21,-1.47%,-0.57%,
1-Dec-21,1.06%,0.66%,
2-Dec-21,-4.31%,-4.71%,
3-Dec-21,2.99%,0.00%,
6-Dec-21,-1.47%,0.11%,
7-Dec-21,0.93%,1.32%,
8-Dec-21,-0.13%,-0.02%,
9-Dec-21,-1.53%,-0.75%,
10-Dec-21,-0.82%,-0.28%,
13-Dec-21,-0.24%,-1.20%,
14-Dec-21,0.08%,0.86%,
15-Dec-21,-0.37%,2.59%,
16-Dec-21,-2.85%,-1.43%,
17-Dec-21,2.03%,0.39%,
20-Dec-21,0.42%,1.00%,
21-Dec-21,-0.72%,-0.37%,
22-Dec-21,0.25%,0.00%,
23-Dec-21,-0.55%,0.21%,
24-Dec-21,-0.46%,-0.34%,
27-Dec-21,-0.55%,-0.46%,
28-Dec-21,-0.14%,0.30%,
29-Dec-21,-0.87%,0.49%,
30-Dec-21,-0.13%,0.35%,
31-Dec-21,1.52%,0.40%,
